n_records,workload,rep,component_id,speedup,component
2000000,2000000,5,language_gain,498.1014305885925,"Language effect
R sequential / C++ sequential"
2000000,2000000,5,openmp_gain,6.831371234948301,"OpenMP effect
C++ sequential / C++ OpenMP"
2000000,2000000,5,cuda_gain,0.1446282559779462,"CUDA effect
C++ sequential / C++ CUDA"
5000000,5000000,1,psock_gain,3.9908827186075313,"R parallelization
R sequential / R PSOCK"
5000000,5000000,1,language_gain,496.28396174736076,"Language effect
R sequential / C++ sequential"
5000000,5000000,1,openmp_gain,6.672632768249677,"OpenMP effect
C++ sequential / C++ OpenMP"
5000000,5000000,1,cuda_gain,0.2805805891719168,"CUDA effect
C++ sequential / C++ CUDA"
5000000,5000000,2,psock_gain,4.019330543933045,"R parallelization
R sequential / R PSOCK"
5000000,5000000,2,language_gain,493.87953785436446,"Language effect
R sequential / C++ sequential"
5000000,5000000,2,openmp_gain,7.017507679556882,"OpenMP effect
C++ sequential / C++ OpenMP"
5000000,5000000,2,cuda_gain,0.28447244353407247,"CUDA effect
C++ sequential / C++ CUDA"
5000000,5000000,3,psock_gain,4.169368898186899,"R parallelization
R sequential / R PSOCK"
5000000,5000000,3,language_gain,490.90391913874095,"Language effect
R sequential / C++ sequential"
5000000,5000000,3,openmp_gain,3.364686631338472,"OpenMP effect
C++ sequential / C++ OpenMP"
5000000,5000000,3,cuda_gain,0.2790526816748555,"CUDA effect
C++ sequential / C++ CUDA"
5000000,5000000,4,psock_gain,4.07361392832996,"R parallelization
R sequential / R PSOCK"
5000000,5000000,4,language_gain,490.05493202736136,"Language effect
R sequential / C++ sequential"
5000000,5000000,4,openmp_gain,7.248043260865881,"OpenMP effect
C++ sequential / C++ OpenMP"
5000000,5000000,4,cuda_gain,0.2862879361144208,"CUDA effect
C++ sequential / C++ CUDA"
5000000,5000000,5,psock_gain,4.031696390837659,"R parallelization
R sequential / R PSOCK"
5000000,5000000,5,language_gain,491.49666665021397,"Language effect
R sequential / C++ sequential"
5000000,5000000,5,openmp_gain,5.940594647895927,"OpenMP effect
C++ sequential / C++ OpenMP"
5000000,5000000,5,cuda_gain,0.27865636279793554,"CUDA effect
C++ sequential / C++ CUDA"
