n_records,workload,mode,repetitions,arithmetic_mean,median,geometric_mean,log_sd,log_se,log_ci95,ymin,ymax
1000000,1000000,R/PSOCK (8 workers),5,2.748000000000002,2.7789999999999964,2.747586545193846,0.019423454854511933,0.008686433082517394,0.0241174046135836,2.6821145692856154,2.8146567300967327
1000000,1000000,C++ sequential,5,0.01994038,0.019952063,0.019938476573016232,0.015429726578672656,0.0069003835008294625,0.019158535994865576,0.019560120499020478,0.020324151278752346
1000000,1000000,C++/OpenMP (8 threads),5,0.0032190008,0.003149007,0.003213701329801998,0.06348405116233531,0.02839093077721126,0.07882586078839758,0.0029701055007787798,0.003477275886147175
1000000,1000000,C++/CUDA (total),5,0.2187254474,0.239983986,0.2168839875606205,0.14694428398651202,0.06571548157977493,0.18245542716788185,0.18071246263619936,0.26029562861356775
2000000,2000000,R sequential,5,19.49599999999998,19.496999999999957,19.49459006293249,0.013436097796951828,0.006008805605263891,0.016683118910819996,19.172057404884605,19.822548707003186
2000000,2000000,R/PSOCK (8 workers),5,5.084799999999996,5.072000000000003,5.082743120187107,0.03180377130988933,0.014223078917954013,0.03948959784259535,4.885939069331219,5.287474374776748
2000000,2000000,C++ sequential,5,0.0389474468,0.03895349,0.03894702846673515,0.005182825914324339,0.0023178302119953443,0.006435328346774038,0.03869719628866974,0.0391984735812193
2000000,2000000,C++/OpenMP (8 threads),5,0.005864623,0.005807476,0.00586080876716743,0.040049882461427114,0.017910851934925524,0.0497284971846464,0.005576487577265039,0.006159626275389812
2000000,2000000,C++/CUDA (total),5,0.270740185,0.270476035,0.2707349200736001,0.006965664149102851,0.0031151397091654406,0.008649014397519665,0.2684034269448061,0.2730866657761838
5000000,5000000,R sequential,5,47.98200000000004,48.03100000000006,47.981623278070366,0.004431344233133033,0.0019817573873974273,0.005502240597929154,47.71834182569239,48.246357361040985
5000000,5000000,R/PSOCK (8 workers),5,11.829999999999995,11.831999999999994,11.82831269396859,0.018927493016349654,0.008464632205642073,0.023501586654654533,11.553569672174,12.109589084251592
5000000,5000000,C++ sequential,5,0.0974221648,0.09725246,0.09742093957365303,0.005601789764666607,0.0025051965418914166,0.0069555406762928625,0.09674567540184527,0.09810091694529977
5000000,5000000,C++/OpenMP (8 threads),5,0.0174525882,0.014540148,0.01668619159271787,0.3164295210722677,0.14151158384105852,0.3928991442842941,0.011264795074494013,0.024716738123298266
5000000,5000000,C++/CUDA (total),5,0.3457282642,0.345786814,0.3457172948852763,0.008907597777420645,0.00398359882930772,0.01106024347070308,0.34191464531131627,0.349562236136357
